꼬츄	NNP 
땡추	NNP 
쉬밸년	NNP 
ㅁl친	NNP 
씨벌쉐이	NNP 
과메기	NNP 
병닥	NNP 
흐접	NNP 
부랄.	NNP 
찐따	NNP 
시발새끼	NNP 
18새끼	NNP 
ㄲㅏ	NNP 
penis	NNP 
좆까	NNP 
뒈진	NNP 
개수작	NNP 
왜놈	NNP 
아헤가오	NNP 
샹뇬	NNP 
미칀	NNP 
ㅆI발	NNP 
색갸	NNP 
씨방놈	NNP 
식키	NNP 
눈깔	NNP 
se	NNP 
새애액스	NNP 
섹히	NNP 
씹탱굴이	NNP 
젖탱이	NNP 
육시랄 	NNP 
샷업	NNP 
X끼	NNP 
자쥐	NNP 
씨발년	NNP 
쌕쓰	NNP 
강간	NNP 
후레자식애	NNP 
ㅅㅐ끼	NNP 
시이펄	NNP 
염뵹	NNP 
18년	NNP 
띠방	NNP 
옌장	NNP 
염병할	NNP 
육갑	NNP 
접년	NNP 
창뇬	NNP 
주둥이	NNP 
쥬디	NNP 
쟘지	NNP 
ㄲㅑ	NNP 
번섹	NNP 
돼지새끼	NNP 
쓉창	NNP 
유방	NNP 
늬기미	NNP 
자쥣	NNP 
니미씹	NNP 
씨블년	NNP 
붕알	NNP 
ㅈㄹ	NNP 
좃도	NNP 
죠또	NNP 
워마드	NNP 
호구	NNP 
쉐끼	NNP 
실프	NNP 
존만한	NNP 
쓰이불	NNP 
개쉽	NNP 
유방핧어	NNP 
asshole	NNP 
빙쉰	NNP 
쓰브랄쉽세	NNP 
시펄	NNP 
ㅅHㄲI	NNP 
박쥐	NNP 
새'꺄	NNP 
귀두	NNP 
젓밥	NNP 
쌍넘	NNP 
cunt	NNP 
10세리	NNP 
띠펄	NNP 
냄비	NNP 
싸가지가 없다, 싸가지	NNP 
똘추	NNP 
개새	NNP 
씹뇬	NNP 
쓰바새끼	NNP 
상폐녀	NNP 
저빠지게	NNP 
조랭	NNP 
씁새	NNP 
색끼	NNP 
점물	NNP 
유방쪼물럭	NNP 
나쁜 새끼	NNP 
젓가튼	NNP 
빠수니	NNP 
떡치기	NNP 
허버리년	NNP 
ㅁ1친년	NNP 
개불랄	NNP 
어미따먹자	NNP 
좃나	NNP 
니거	NNP 
따식	NNP 
막대쑤셔줘	NNP 
미췬넘	NNP 
급식	NNP 
창녀	NNP 
개지랄	NNP 
촛불좀비	NNP 
꽂추	NNP 
게자식	NNP 
욧나	NNP 
니애미	NNP 
왕털자지	NNP 
좆털	NNP 
가슴주물럭	NNP 
10쎄	NNP 
쒸바	NNP 
붕가	NNP 
개잡년	NNP 
믜친	NNP 
18스	NNP 
ㅃr큐	NNP 
씨불	NNP 
바보멍청이해삼멍게말미잘	NNP 
10알	NNP 
씸새끼	NNP 
버지빨아	NNP 
왕따	NNP 
18세끼	NNP 
꺼져	NNP 
새뤼	NNP 
좆같은놈	NNP 
이새끼	NNP 
스팽	NNP 
븅	NNP 
창년	NNP 
좇나	NNP 
지스팟	NNP 
쌩쑈	NNP 
짜져 있어	NNP 
씨앙	NNP 
쓰방	NNP 
좃찐	NNP 
좃빠라라	NNP 
호로자슥애	NNP 
젓만이	NNP 
뉘귀미	NNP 
쥐롤	NNP 
호루자슥	NNP 
되놈	NNP 
호냥년	NNP 
틀딱	NNP 
벵신	NNP 
ㅆㅂㄻ	NNP 
시브랄	NNP 
쉬방	NNP 
가슴쪼물락	NNP 
폰색	NNP 
凸,미워	NNP 
씝탱	NNP 
주글년	NNP 
장궤	NNP 
좃가튼뇬	NNP 
버짓물	NNP 
조까치	NNP 
크리토리스	NNP 
돌은넘	NNP 
씹쌍	NNP 
짱깨	NNP 
개뻥	NNP 
ㅆl발	NNP 
십샹	NNP 
죠빠	NNP 
좆같은새끼	NNP 
듕시나	NNP 
어미강간	NNP 
쒸뱅	NNP 
정액핧아	NNP 
망할	NNP 
씨파	NNP 
씸년	NNP 
젓나게	NNP 
양넘	NNP 
개때꺄	NNP 
띠붕	NNP 
십자석	NNP 
ㅄ	NNP 
쓰레기	NNP 
닥쳐	NNP 
좁빠라라	NNP 
쥐새끼	NNP 
입싸	NNP 
개색키	NNP 
죳나	NNP 
은년	NNP 
촌년	NNP 
엿먹어라	NNP 
시벌	NNP 
쉽알	NNP 
니어미	NNP 
씨'발	NNP 
시방	NNP 
븅쉰	NNP 
ssiba	NNP 
추남	NNP 
씨퐁뇬	NNP 
씹스키	NNP 
개년	NNP 
최순실	NNP 
미췬년	NNP 
쉽팔	NNP 
젖꼮찌	NNP 
개아들	NNP 
구라	NNP 
트롤	NNP 
딸딸이 부대	NNP 
시밝	NNP 
쒸벌	NNP 
18	NNP 
을년	NNP 
십셰리	NNP 
호로년	NNP 
똘기	NNP 
shit	NNP 
꼽냐	NNP 
유방빨아	NNP 
빙신	NNP 
ㅆㅣ발	NNP 
촹뇬	NNP 
색스	NNP 
엔플레버	NNP 
쉬펄	NNP 
ㅆ!발	NNP 
개씹	NNP 
씹보지	NNP 
애미보지	NNP 
ㄱㅐ	NNP 
씹펄	NNP 
까러	NNP 
영자	NNP 
자지넣자	NNP 
ㅈㅏㅈㅣ	NNP 
염창	NNP 
아구창	NNP 
wtf	NNP 
씹새꺄	NNP 
호로짜식	NNP 
개나리	NNP 
zl랄	NNP 
ㅅㅔㄲㅣ	NNP 
뙨넘	NNP 
껒여	NNP 
좆물	NNP 
변태새끼	NNP 
뻐큐	NNP 
좌식	NNP 
아다	NNP 
버지벌려	NNP 
쉐기	NNP 
개쓰레기	NNP 
조개따조	NNP 
사이버 렉카	NNP 
좆도	NNP 
씹쌔끼	NNP 
좃냄새	NNP 
씨발롬	NNP 
왕털잠지	NNP 
자지쓰레기	NNP 
붜지	NNP 
미틴년	NNP 
존나게	NNP 
난자마셔	NNP 
똥구뇽	NNP 
썅놈	NNP 
씌벌	NNP 
동성애자	NNP 
엿먹어	NNP 
역겹다	NNP 
개시키	NNP 
나가 죽어	NNP 
걔시키	NNP 
먹사	NNP 
씨팍	NNP 
십부럴	NNP 
왕잠지	NNP 
ㄴ1애	NNP 
몸빵	NNP 
꼴린다	NNP 
후장뚫어	NNP 
후레	NNP 
샹년	NNP 
보지핧어	NNP 
호로자식	NNP 
박쥐같은새끼	NNP 
fuck	NNP 
운디네	NNP 
저년	NNP 
쳐쑤셔박어	NNP 
버러지	NNP 
게부럴	NNP 
bogi	NNP 
구멍	NNP 
그년	NNP 
새끼	NNP 
씨가랭놈	NNP 
잡년	NNP 
애무	NNP 
쉬이벌	NNP 
씨봉	NNP 
씨밸	NNP 
쪽발이	NNP 
시이팔	NNP 
갈보	NNP 
씌댕	NNP 
ㅆi발	NNP 
고환	NNP 
가슴만져	NNP 
개떡	NNP 
쉬팍	NNP 
병시나	NNP 
걔잡년	NNP 
씌뎅	NNP 
뉘미럴	NNP 
미친놈	NNP 
멍청도	NNP 
좆찐	NNP 
및친	NNP 
씹8	NNP 
개샹련	NNP 
니믜	NNP 
쉬바	NNP 
띠벌	NNP 
조쟁이	NNP 
씨퐁보지	NNP 
장애인	NNP 
이새키	NNP 
쒝	NNP 
옘빙	NNP 
뽁큐	NNP 
짜찌	NNP 
젖도	NNP 
시끼	NNP 
닳은년	NNP 
10쌔	NNP 
ㅆㅣ불	NNP 
z랄	NNP 
미티넘	NNP 
쉣	NNP 
씹샹	NNP 
샤발	NNP 
좆	NNP 
색히	NNP 
